alg mean               var                sd                 ci                
enc 0.0005803841870968 0.0000000001169640 0.0000108149886241 0.0000054299787928
  1 0.0005976017096774 0.0000000000014103 0.0000011875772669 0.0000005962576197
  2 0.0006000226967742 0.0000000000009929 0.0000009964406319 0.0000005002919271
  3 0.0006026884580645 0.0000000000009088 0.0000009532980495 0.0000004786309419
  4 0.0006052256516129 0.0000000000009459 0.0000009725814132 0.0000004883127141
  5 0.0006103036645161 0.0000000001530242 0.0000123702940510 0.0000062108650035
  6 0.0006107396129032 0.0000000000030747 0.0000017534691351 0.0000008803800493
  7 0.0006133338645161 0.0000000000009570 0.0000009782390851 0.0000004911533124
  8 0.0006199927612903 0.0000000002020046 0.0000142128313619 0.0000071359643143
  9 0.0006190659419355 0.0000000000010318 0.0000010157889376 0.0000005100063052
 10 0.0006217387870968 0.0000000000012108 0.0000011003735547 0.0000005524744661
 11 0.0006246457290323 0.0000000000008811 0.0000009386524931 0.0000004712777154
 12 0.0006272186967742 0.0000000000009115 0.0000009547060754 0.0000004793378822
 13 0.0006312071483871 0.0000000000037588 0.0000019387594294 0.0000009734104170
 14 0.0006323046645161 0.0000000000007468 0.0000008641847818 0.0000004338890406
 15 0.0006352945741935 0.0000000000012065 0.0000010983960145 0.0000005514815847
 16 0.0006369814838710 0.0000000000009191 0.0000009587012879 0.0000004813437945
 17 0.0006411701290323 0.0000000000020994 0.0000014489311744 0.0000007274779311
 18 0.0006434381290323 0.0000000000009637 0.0000009817032390 0.0000004928925914
 19 0.0006454812774194 0.0000000000026148 0.0000016170237118 0.0000008118736661
 20 0.0006479973548387 0.0000000000013238 0.0000011505866674 0.0000005776854161
 21 0.0006516445870968 0.0000000000011417 0.0000010685216865 0.0000005364823116
 22 0.0006533206774194 0.0000000000010822 0.0000010403080911 0.0000005223168576
 23 0.0006565669806452 0.0000000000014466 0.0000012027442481 0.0000006038726426
 24 0.0006592085225806 0.0000000000010237 0.0000010118044721 0.0000005080057887
 25 0.0006623733161290 0.0000000000033632 0.0000018339094822 0.0000009207674591
 26 0.0006646842516129 0.0000000000010570 0.0000010281265629 0.0000005162007679
 27 0.0006674418838710 0.0000000000010165 0.0000010082109631 0.0000005062015633
 28 0.0006696506129032 0.0000000000010779 0.0000010382026031 0.0000005212597362
 29 0.0006733444838710 0.0000000000012485 0.0000011173594847 0.0000005610027451
 30 0.0006753968903226 0.0000000000033476 0.0000018296366370 0.0000009186221533
 31 0.0006781065612903 0.0000000000007576 0.0000008704152625 0.0000004370172342
 32 0.0006917953032258 0.0000000005918686 0.0000243283490076 0.0000122147534101
 33 0.0006942871806452 0.0000000003363975 0.0000183411414943 0.0000092087021829
 34 0.0006912001161290 0.0000000001347726 0.0000116091604036 0.0000058287157745
 35 0.0006935689612903 0.0000000002944992 0.0000171609775925 0.0000086161666583
 36 0.0006956075225806 0.0000000001476356 0.0000121505400734 0.0000061005311438
 37 0.0006978005032258 0.0000000001575640 0.0000125524488186 0.0000063023210891
 38 0.0006973086580645 0.0000000000010815 0.0000010399512542 0.0000005221376973
 39 0.0007001275419355 0.0000000000011477 0.0000010712889211 0.0000005378716821
 40 0.0007024351290323 0.0000000000007404 0.0000008604856327 0.0000004320317755
 41 0.0007056942580645 0.0000000000033020 0.0000018171336749 0.0000009123446784
 42 0.0007075982000000 0.0000000000013321 0.0000011541718047 0.0000005794854383
 43 0.0007119967935484 0.0000000000016647 0.0000012902428355 0.0000006478038469
 44 0.0007123519290323 0.0000000000006879 0.0000008293827915 0.0000004164156917
 45 0.0007166041741935 0.0000000000011331 0.0000010644548072 0.0000005344404169
 46 0.0007194216129032 0.0000000000007266 0.0000008524201264 0.0000004279822540
 47 0.0007222918193548 0.0000000000035985 0.0000018969759354 0.0000009524318016
 48 0.0007244950838710 0.0000000000008510 0.0000009224720422 0.0000004631538507
 49 0.0007280393354839 0.0000000000017258 0.0000013137003538 0.0000006595813745
 50 0.0007305555290323 0.0000000000007561 0.0000008695256263 0.0000004365705665
 51 0.0007332154193548 0.0000000000007757 0.0000008807200060 0.0000004421910296
 52 0.0007356510580645 0.0000000000033360 0.0000018264761929 0.0000009170353606
 53 0.0007377708645161 0.0000000000006208 0.0000007879303732 0.0000003956033026
 54 0.0007403396580645 0.0000000000014456 0.0000012023226236 0.0000006036609538
 55 0.0007445790838710 0.0000000000011264 0.0000010613363109 0.0000005328746853
 56 0.0007461279548387 0.0000000000006962 0.0000008343970801 0.0000004189332608
 57 0.0007495170516129 0.0000000000030401 0.0000017435856641 0.0000008754177659
 58 0.0007511337290323 0.0000000000011629 0.0000010783623850 0.0000005414231198
 59 0.0007547410645161 0.0000000000010486 0.0000010240214807 0.0000005141396923
 60 0.0007560731354839 0.0000000000010554 0.0000010273458923 0.0000005158088096
 61 0.0007599052387097 0.0000000000015167 0.0000012315303861 0.0000006183255583
 62 0.0007627349677419 0.0000000000009628 0.0000009812257152 0.0000004926528367
 63 0.0007649159225806 0.0000000000045925 0.0000021430189588 0.0000010759648395
 64 0.0007685293548387 0.0000000000007103 0.0000008428136950 0.0000004231590665
 65 0.0007722294258065 0.0000000000008357 0.0000009141865335 0.0000004589938706
 66 0.0007737670580645 0.0000000000013795 0.0000011745044359 0.0000005896940256
 67 0.0007756537419355 0.0000000000009017 0.0000009495796266 0.0000004767639998
 68 0.0007792031741935 0.0000000000036643 0.0000019142468373 0.0000009611031590
 69 0.0007822503677419 0.0000000000014454 0.0000012022386608 0.0000006036187979
 70 0.0007844094516129 0.0000000000007625 0.0000008731980806 0.0000004384144287
 71 0.0007869826129032 0.0000000000013170 0.0000011475860844 0.0000005761788864
 72 0.0007894821741935 0.0000000000034135 0.0000018475568327 0.0000009276195074
 73 0.0007921732516129 0.0000000000015265 0.0000012355130497 0.0000006203251701
 74 0.0007953471096774 0.0000000000006081 0.0000007798075623 0.0000003915250097
 75 0.0007981903161290 0.0000000000014337 0.0000011973594234 0.0000006011690352
 76 0.0008002676064516 0.0000000000007741 0.0000008798434792 0.0000004417509439
 77 0.0008052375870968 0.0000000000028643 0.0000016924359115 0.0000008497365487
 78 0.0008049513096774 0.0000000000007398 0.0000008601382197 0.0000004318573467
 79 0.0008090057225806 0.0000000000009605 0.0000009800400668 0.0000004920575475
 80 0.0008110615806452 0.0000000000011269 0.0000010615573947 0.0000005329856869
 81 0.0008144623548387 0.0000000000011406 0.0000010679840282 0.0000005362123647
 82 0.0008174889806452 0.0000000000028491 0.0000016879305794 0.0000008474745160
 83 0.0008203233354839 0.0000000000012242 0.0000011064155149 0.0000005555080075
 84 0.0008225711870968 0.0000000000010282 0.0000010140259049 0.0000005091211235
 85 0.0008257714322581 0.0000000000009951 0.0000009975518942 0.0000005008498685
 86 0.0008288102580645 0.0000000000015068 0.0000012275168824 0.0000006163104623
 87 0.0008320869354839 0.0000000000039148 0.0000019785978034 0.0000009934124284
 88 0.0008332621935484 0.0000000000010856 0.0000010419351438 0.0000005231337666
 89 0.0008368687032258 0.0000000000009352 0.0000009670390035 0.0000004855299865
 90 0.0008386943290323 0.0000000000032014 0.0000017892492761 0.0000008983445071
 91 0.0008409828129032 0.0000000000037843 0.0000019453333870 0.0000009767110631
 92 0.0008439099290323 0.0000000000011571 0.0000010756670471 0.0000005400698472
 93 0.0008470837935484 0.0000000000012622 0.0000011234830181 0.0000005640772427
 94 0.0008500332838710 0.0000000000009094 0.0000009536288010 0.0000004787970053
 95 0.0008514966516129 0.0000000000011092 0.0000010531672827 0.0000005287731877
 96 0.0008544483612903 0.0000000000026501 0.0000016279123731 0.0000008173406344
 97 0.0008599362903226 0.0000000000013074 0.0000011434255980 0.0000005740899935
 98 0.0008600658129032 0.0000000000008551 0.0000009247132513 0.0000004642791147
 99 0.0008636417290323 0.0000000000017287 0.0000013147844148 0.0000006601256587
100 0.0008654949096774 0.0000000000031917 0.0000017865306736 0.0000008969795538
101 0.0008689204903226 0.0000000000009902 0.0000009950637565 0.0000004996006268
102 0.0008724701806452 0.0000000000013995 0.0000011830032937 0.0000005939611238
103 0.0008726071354839 0.0000000000010033 0.0000010016636393 0.0000005029142894
104 0.0008768812258065 0.0000000000013638 0.0000011678231404 0.0000005863394874
105 0.0008801828322581 0.0000000000025461 0.0000015956361023 0.0000008011353962
106 0.0008826905677419 0.0000000000008687 0.0000009320254404 0.0000004679504114
107 0.0008839155483871 0.0000000000011958 0.0000010935101584 0.0000005490284989
108 0.0008868439290323 0.0000000000011173 0.0000010570279032 0.0000005307115243
109 0.0008906971677419 0.0000000000031880 0.0000017854846051 0.0000008964543447
110 0.0008932146000000 0.0000000000012904 0.0000011359553501 0.0000005703393388
111 0.0008964072451613 0.0000000000014524 0.0000012051463122 0.0000006050786686
112 0.0009011601419355 0.0000000000009738 0.0000009868042591 0.0000004954537065
113 0.0009002269419355 0.0000000000011293 0.0000010626659045 0.0000005335422464
114 0.0009053865161290 0.0000000000044274 0.0000021041344297 0.0000010564417336
115 0.0009073049935484 0.0000000000011394 0.0000010674311287 0.0000005359347655
116 0.0009093514129032 0.0000000000010647 0.0000010318400909 0.0000005180652524
117 0.0009123730387097 0.0000000000009367 0.0000009678317945 0.0000004859280302
118 0.0009146135354839 0.0000000000034129 0.0000018474023661 0.0000009275419530
119 0.0009169936645161 0.0000000000010494 0.0000010244058927 0.0000005143326975
120 0.0009208792903226 0.0000000000012574 0.0000011213172561 0.0000005629898590
121 0.0009231067032258 0.0000000000010494 0.0000010243809186 0.0000005143201585
122 0.0009273933290323 0.0000000000025680 0.0000016025112730 0.0000008045872751
123 0.0009288952774194 0.0000000000011184 0.0000010575630121 0.0000005309801912
124 0.0009315632193548 0.0000000000011765 0.0000010846690707 0.0000005445895743
125 0.0009341563161290 0.0000000000010436 0.0000010215459040 0.0000005128967572
126 0.0009375643419355 0.0000000000026522 0.0000016285510592 0.0000008176613053
127 0.0009391780322581 0.0000000000011719 0.0000010825357615 0.0000005435184846
128 0.0009421401935484 0.0000000000008361 0.0000009143797147 0.0000004590908629
129 0.0009448683612903 0.0000000000014241 0.0000011933459520 0.0000005991539554
130 0.0009466930000000 0.0000000000037353 0.0000019326924260 0.0000009703643019
131 0.0009502084000000 0.0000000000012320 0.0000011099360414 0.0000005572755900
132 0.0009547678645161 0.0000000000021905 0.0000014800358891 0.0000007430949555
133 0.0009568288774194 0.0000000000012172 0.0000011032557524 0.0000005539215571
134 0.0009580681290323 0.0000000000028403 0.0000016853331513 0.0000008461704019
135 0.0009620109419355 0.0000000000010151 0.0000010075002639 0.0000005058447362
136 0.0009668521548387 0.0000000000010112 0.0000010055669442 0.0000005048740569
137 0.0009673031161290 0.0000000000012065 0.0000010984250820 0.0000005514961789
138 0.0009685790000000 0.0000000000033340 0.0000018259329860 0.0000009167626278
139 0.0009746981870968 0.0000000000015582 0.0000012482741557 0.0000006267322536
140 0.0009755369806452 0.0000000000005872 0.0000007662642457 0.0000003847251947
141 0.0009775680000000 0.0000000000013385 0.0000011569506057 0.0000005808806159
142 0.0009787956774194 0.0000000000023974 0.0000015483469083 0.0000007773924845
